X,Y,Z
ft,ft,ft
20.503352,52,0.389329
20.753727,52,0.440259
21.003928,52,0.467114
21.253114,52,0.353754
21.502722,52,0.298556
21.752544,52,0.273062
22.002325,52,0.241855
22.251428,52,0.116961
22.501177,52,0.081364
22.751099,52,0.069639
23.00098,52,0.052332
23.250871,52,0.036372
23.500754,52,0.019214
23.750635,52,0.001898
24.000576,52,-0.007174
24.250502,52,-0.018241
24.500362,52,-0.038594
24.75026,52,-0.053527
25.000148,52,-0.06998
25.250058,52,-0.083325
25.499881,52,-0.108655
25.749799,52,-0.120939
25.999771,52,-0.12573
26.249676,52,-0.139698
26.499611,52,-0.14957
26.749522,52,-0.162785
26.999495,52,-0.167414
27.249459,52,-0.173385
27.499436,52,-0.177433
27.749358,52,-0.18911
27.999234,52,-0.207189
28.24932,52,-0.19614
28.499307,52,-0.198847
28.749328,52,-0.196886
28.999318,52,-0.199143
29.249303,52,-0.202137
29.499269,52,-0.207759
29.749253,52,-0.210798
29.999224,52,-0.215739
30.249252,52,-0.212851
30.49925,52,-0.213969
30.749184,52,-0.224047
30.999199,52,-0.222847
31.249155,52,-0.229781
31.499125,52,-0.234929
31.749055,52,-0.245474
31.998988,52,-0.255697
32.248929,52,-0.264703
32.498905,52,-0.268983
32.748841,52,-0.27873
32.998725,52,-0.295572
33.248661,52,-0.305429
33.49857,52,-0.318819
33.748529,52,-0.325397
33.998404,52,-0.343682
34.248326,52,-0.355286
34.498259,52,-0.365531
34.748247,52,-0.368026
34.997987,52,-0.40496
35.248041,52,-0.398344
35.498041,52,-0.399264
35.748105,52,-0.391312
35.998209,52,-0.377837
36.248277,52,-0.369373
36.498344,52,-0.360915
36.748379,52,-0.357011
36.998409,52,-0.353757
37.248439,52,-0.35057
37.498559,52,-0.33484
37.748715,52,-0.314217
37.998814,52,-0.301435
38.248919,52,-0.287788
38.499039,52,-0.272135
38.749062,52,-0.269858
38.999113,52,-0.263621
39.249252,52,-0.245404
39.499452,52,-0.218569
39.749581,52,-0.201609
39.999852,52,-0.165057
40.250333,52,-0.099526
40.500759,52,-0.041479
40.751181,52,0.015974
41.001682,52,0.084263
41.252156,52,0.148978
41.502585,52,0.207345
41.752902,52,0.250272
42.003329,52,0.308373
42.253777,52,0.369405
42.504013,52,0.401131
42.753917,52,0.386966
43.0036,52,0.342334
43.253373,52,0.310032
43.503066,52,0.266635
43.752731,52,0.219369
44.00235,52,0.165816
44.252046,52,0.122853
44.501731,52,0.078465
44.751023,52,-0.020369
45.000813,52,-0.050305
45.250654,52,-0.073218
45.50058,52,-0.084407
45.750521,52,-0.093346
46.000477,52,-0.10035
46.250419,52,-0.109338
46.500364,52,-0.11788
46.750308,52,-0.126481
47.000248,52,-0.135692
47.250195,52,-0.14391
47.500142,52,-0.152165
47.750079,52,-0.161729
48.000017,52,-0.171166
48.249983,52,-0.17684
48.499878,52,-0.192237
48.749798,52,-0.204202
48.999706,52,-0.217867
49.249638,52,-0.228145
49.499549,52,-0.241366
49.749472,52,-0.252912
49.99939,52,-0.265119
50.249292,52,-0.279605
50.4992,52,-0.293213
50.749144,52,-0.301883
50.999056,52,-0.314879
51.248923,52,-0.334253
51.498869,52,-0.342578
51.748773,52,-0.356759
51.998626,52,-0.378084
52.248502,52,-0.396069
52.498394,52,-0.411923
52.748262,52,-0.431015
52.998143,52,-0.448441
53.248017,52,-0.466717
53.49789,52,-0.485228
53.747782,52,-0.50111
53.997678,52,-0.516312
54.247546,52,-0.535461
54.497942,52,-0.481647
54.747951,52,-0.481285
54.997989,52,-0.47688
55.248416,52,-0.418834
55.498379,52,-0.424782
