X,Y,Z
ft,ft,ft
95.498656,66.5,-0.531196
95.748763,66.5,-0.517317
95.998871,66.5,-0.503232
96.248971,66.5,-0.490324
96.499181,66.5,-0.462255
96.749359,66.5,-0.438551
96.999393,66.5,-0.434677
97.249542,66.5,-0.415057
97.499703,66.5,-0.393607
97.750568,66.5,-0.274923
98.000832,66.5,-0.239347
98.250866,66.5,-0.235487
98.501192,66.5,-0.191369
98.751518,66.5,-0.147252
99.001564,66.5,-0.141732
99.251918,66.5,-0.093757
99.501996,66.5,-0.083761
99.752126,66.5,-0.066809
100.002255,66.5,-0.049858
100.252837,66.5,0.02972
100.502848,66.5,0.030313
100.752858,66.5,0.030906
101.003176,66.5,0.073957
101.25285,66.5,0.027988
101.502514,66.5,-0.019423
101.752166,66.5,-0.068503
102.001809,66.5,-0.118722
102.251446,66.5,-0.169862
102.501185,66.5,-0.206752
102.750855,66.5,-0.253286
103.000526,66.5,-0.299739
103.250215,66.5,-0.343699
103.499199,66.5,-0.485088
103.749081,66.5,-0.502302
103.998971,66.5,-0.518364
104.248775,66.5,-0.546382
104.49872,66.5,-0.554871
104.748686,66.5,-0.560479
104.998615,66.5,-0.571199
105.248604,66.5,-0.573623
105.498558,66.5,-0.580941
105.748531,66.5,-0.585537
105.998523,66.5,-0.587529
106.248499,66.5,-0.591758
106.498461,66.5,-0.597845
106.748431,66.5,-0.603009
106.998428,66.5,-0.604312
107.248427,66.5,-0.605376
107.498427,66.5,-0.606228
107.748421,66.5,-0.607959
107.99842,66.5,-0.609024
108.248418,66.5,-0.610225
108.498404,66.5,-0.61301
108.748398,66.5,-0.614706
108.998397,66.5,-0.615737
109.248389,66.5,-0.617825
109.498386,66.5,-0.619155
109.748384,66.5,-0.620376
109.998398,66.5,-0.619337
110.248399,66.5,-0.619993
110.498408,66.5,-0.619742
110.748405,66.5,-0.620995
110.998421,66.5,-0.619775
111.248453,66.5,-0.616132
111.498464,66.5,-0.615522
111.748474,66.5,-0.615078
111.998531,66.5,-0.608113
112.24858,66.5,-0.602282
112.498614,66.5,-0.598503
112.748652,66.5,-0.594153
112.998721,66.5,-0.585527
113.248762,66.5,-0.580665
113.498821,66.5,-0.573462
113.748885,66.5,-0.565457
113.998944,66.5,-0.558286
114.249009,66.5,-0.550206
114.499073,66.5,-0.542286
114.749138,66.5,-0.534204
114.999215,66.5,-0.524451
115.249281,66.5,-0.516138
115.499348,66.5,-0.507792
115.749428,66.5,-0.49771
115.999502,66.5,-0.488363
116.249572,66.5,-0.479559
116.49964,66.5,-0.470997
116.749706,66.5,-0.462777
116.999784,66.5,-0.452997
117.24987,66.5,-0.44199
117.499983,66.5,-0.427222
117.750078,66.5,-0.415037
118.000173,66.5,-0.40281
118.250445,66.5,-0.366134
118.500696,66.5,-0.332266
118.750916,66.5,-0.302756
119.001188,66.5,-0.266041
119.251426,66.5,-0.234049
119.501726,66.5,-0.193463
119.751906,66.5,-0.169525
120.002102,66.5,-0.143361
120.252343,66.5,-0.110855
120.502585,66.5,-0.078349
120.75282,66.5,-0.046784
121.003067,66.5,-0.013549
121.253287,66.5,0.016003
121.502895,66.5,-0.039085
121.752764,66.5,-0.058057
122.002643,66.5,-0.075768
122.252495,66.5,-0.097157
122.502837,66.5,-0.050746
122.752451,66.5,-0.105054
123.002024,66.5,-0.164902
123.251592,66.5,-0.225593
123.501221,66.5,-0.277729
123.750824,66.5,-0.333522
124.000423,66.5,-0.389954
124.250032,66.5,-0.444937
124.499623,66.5,-0.502348
124.749305,66.5,-0.547247
124.999109,66.5,-0.575254
125.248981,66.5,-0.593838
125.49884,66.5,-0.61417
125.748747,66.5,-0.627931
125.998662,66.5,-0.640598
126.248554,66.5,-0.656427
126.498477,66.5,-0.668086
126.748385,66.5,-0.681589
126.998316,66.5,-0.692062
127.24828,66.5,-0.697998
127.498232,66.5,-0.705517
127.748182,66.5,-0.713306
127.998161,66.5,-0.717194
128.248109,66.5,-0.725228
128.498069,66.5,-0.731628
128.748062,66.5,-0.733606
128.998002,66.5,-0.742803
129.247978,66.5,-0.746971
129.497866,66.5,-0.763299
129.747841,66.5,-0.767718
129.997819,66.5,-0.771637
130.247745,66.5,-0.782831
130.497694,66.5,-0.790816
130.747632,66.5,-0.80024
130.997563,66.5,-0.810662
131.247492,66.5,-0.821405
131.497419,66.5,-0.832326
131.747372,66.5,-0.839833
131.997296,66.5,-0.851202
132.24728,66.5,-0.854299
132.497292,66.5,-0.853624
132.74726,66.5,-0.858857
132.997166,66.5,-0.872767
133.247121,66.5,-0.879918
133.497124,66.5,-0.880362
133.747122,66.5,-0.881605
133.997128,66.5,-0.881719
134.247136,66.5,-0.881459
134.497138,66.5,-0.882047
134.747171,66.5,-0.878416
134.997182,66.5,-0.877785
135.247221,66.5,-0.873277
135.497243,66.5,-0.871162
135.747334,66.5,-0.859511
135.997353,66.5,-0.857792
136.247401,66.5,-0.852029
136.497487,66.5,-0.841044
136.747599,66.5,-0.826548
136.997708,66.5,-0.812287
137.247815,66.5,-0.798466
137.498008,66.5,-0.77268
137.748143,66.5,-0.754819
137.998368,66.5,-0.724701
138.248488,66.5,-0.708928
138.498742,66.5,-0.674754
138.748992,66.5,-0.641105
138.99909,66.5,-0.628419
139.249404,66.5,-0.585893
139.499709,66.5,-0.544645
139.750014,66.5,-0.503397
140.000319,66.5,-0.46215
140.250624,66.5,-0.420902
140.500937,66.5,-0.378569
140.751247,66.5,-0.33659
141.001556,66.5,-0.294692
141.251855,66.5,-0.254236
141.50142,66.5,-0.315346
141.751385,66.5,-0.321099
142.001506,66.5,-0.30532
142.251292,66.5,-0.335782
142.501096,66.5,-0.363714
142.750855,66.5,-0.398006
143.000644,66.5,-0.428029
143.250431,66.5,-0.458375
143.500233,66.5,-0.48672
143.750031,66.5,-0.515501
143.999802,66.5,-0.548158
144.249625,66.5,-0.573523
144.499429,66.5,-0.601439
144.749414,66.5,-0.604449
144.99932,66.5,-0.618372
145.249201,66.5,-0.635759
145.499106,66.5,-0.649782
145.749011,66.5,-0.663853
145.998886,66.5,-0.68193
146.248774,66.5,-0.698419
146.498673,66.5,-0.713198
146.748584,66.5,-0.726444
146.998499,66.5,-0.73905
147.24844,66.5,-0.748216
147.498351,66.5,-0.76141
147.748289,66.5,-0.770868
147.998205,66.5,-0.783366
148.248134,66.5,-0.79404
148.498064,66.5,-0.804713
148.747996,66.5,-0.815004
148.998012,66.5,-0.813748
149.248059,66.5,-0.808032
149.498085,66.5,-0.805435
149.748148,66.5,-0.797547
149.99821,66.5,-0.789866
150.248273,66.5,-0.782121
150.498351,66.5,-0.772199
150.748439,66.5,-0.760997
150.99852,66.5,-0.750631
151.248609,66.5,-0.739273
151.498739,66.5,-0.722173
151.748828,66.5,-0.710857
151.998934,66.5,-0.69704
152.249037,66.5,-0.683706
152.499142,66.5,-0.670085
152.749284,66.5,-0.651366
152.999383,66.5,-0.638605
153.249463,66.5,-0.628418
153.499603,66.5,-0.610012
153.749847,66.5,-0.577149
153.999882,66.5,-0.573194
154.249936,66.5,-0.566707
154.49996,66.5,-0.564158
154.750016,66.5,-0.557426
154.999938,66.5,-0.569123
155.249899,66.5,-0.575382
155.499879,66.5,-0.57907
155.749854,66.5,-0.583446
155.999606,66.5,-0.618615
156.249536,66.5,-0.629203
156.499385,66.5,-0.651017
156.749276,66.5,-0.666975
156.999174,66.5,-0.681886
157.249043,66.5,-0.700899
157.498917,66.5,-0.719296
157.748775,66.5,-0.739758
157.998657,66.5,-0.757024
158.24854,66.5,-0.774167
158.498423,66.5,-0.791163
158.748341,66.5,-0.803494
158.998252,66.5,-0.816613
159.248168,66.5,-0.829177
159.498032,66.5,-0.848828
159.747927,66.5,-0.86434
159.997835,66.5,-0.877978
160.247655,66.5,-0.903785
160.497517,66.5,-0.923702
160.747499,66.5,-0.927102
160.997422,66.5,-0.938681
161.247275,66.5,-0.959876
161.497211,66.5,-0.969631
161.746977,66.5,-1.002912
161.996861,66.5,-1.019824
162.246958,66.5,-1.007263
162.496671,66.5,-1.047905
162.746502,66.5,-1.072194
162.996527,66.5,-1.069681
163.246559,66.5,-1.06611
163.496563,66.5,-1.066518
163.746656,66.5,-1.054517
163.996701,66.5,-1.049154
164.246786,66.5,-1.038345
164.496816,66.5,-1.035094
164.746905,66.5,-1.023715
164.996971,66.5,-1.015528
165.24705,66.5,-1.005513
165.49719,66.5,-0.987024
165.747291,66.5,-0.973901
165.99735,66.5,-0.966624
166.24748,66.5,-0.949621
166.497583,66.5,-0.936345
166.747688,66.5,-0.922631
166.997819,66.5,-0.905483
167.247912,66.5,-0.893547
167.498136,66.5,-0.863453
167.748429,66.5,-0.823849
